Tissue,training_representation,held_out_animal,min_det,features_retained
Fur,animal-mean,Co_7b,0.2,111
Fur,animal-mean,Co_7b,0.3,90
Fur,animal-mean,Co_8b,0.0,313
Fur,animal-mean,Co_8b,0.1,155
Fur,animal-mean,Co_8b,0.2,110
Fur,animal-mean,Co_8b,0.3,87
Fur,animal-mean,Co_9b,0.0,313
Fur,animal-mean,Co_9b,0.1,156
Fur,animal-mean,Co_9b,0.2,111
Fur,animal-mean,Co_9b,0.3,90
Liver,spot,Ca_11b,0.0,313
Liver,spot,Ca_11b,0.1,136
Liver,spot,Ca_11b,0.2,127
Liver,spot,Ca_11b,0.3,118
Liver,spot,Ca_13b,0.0,313
Liver,spot,Ca_13b,0.1,136
Liver,spot,Ca_13b,0.2,126
Liver,spot,Ca_13b,0.3,119
Liver,spot,Ca_14b,0.0,313
Liver,spot,Ca_14b,0.1,136
Liver,spot,Ca_14b,0.2,127
Liver,spot,Ca_14b,0.3,119
Liver,spot,Ca_15b,0.0,313
Liver,spot,Ca_15b,0.1,135
Liver,spot,Ca_15b,0.2,124
Liver,spot,Ca_15b,0.3,118
Liver,spot,Ca_1b,0.0,313
Liver,spot,Ca_1b,0.1,136
Liver,spot,Ca_1b,0.2,127
Liver,spot,Ca_1b,0.3,120
Liver,spot,Ca_2b,0.0,313
Liver,spot,Ca_2b,0.1,134
Liver,spot,Ca_2b,0.2,125
Liver,spot,Ca_2b,0.3,118
Liver,spot,Co_15b,0.0,313
Liver,spot,Co_15b,0.1,135
Liver,spot,Co_15b,0.2,125
Liver,spot,Co_15b,0.3,119
Liver,spot,Co_2b,0.0,313
Liver,spot,Co_2b,0.1,131
Liver,spot,Co_2b,0.2,121
Liver,spot,Co_2b,0.3,119
Liver,spot,Co_4b,0.0,313
Liver,spot,Co_4b,0.1,134
Liver,spot,Co_4b,0.2,121
Liver,spot,Co_4b,0.3,119
Liver,spot,Co_5b,0.0,313
Liver,spot,Co_5b,0.1,136
Liver,spot,Co_5b,0.2,127
Liver,spot,Co_5b,0.3,120
Liver,animal-mean,Ca_11b,0.0,313
Liver,animal-mean,Ca_11b,0.1,147
Liver,animal-mean,Ca_11b,0.2,141
Liver,animal-mean,Ca_11b,0.3,128
Liver,animal-mean,Ca_13b,0.0,313
Liver,animal-mean,Ca_13b,0.1,147
Liver,animal-mean,Ca_13b,0.2,141
Liver,animal-mean,Ca_13b,0.3,128
Liver,animal-mean,Ca_14b,0.0,313
Liver,animal-mean,Ca_14b,0.1,147
Liver,animal-mean,Ca_14b,0.2,141
Liver,animal-mean,Ca_14b,0.3,128
Liver,animal-mean,Ca_15b,0.0,313
Liver,animal-mean,Ca_15b,0.1,145
Liver,animal-mean,Ca_15b,0.2,141
Liver,animal-mean,Ca_15b,0.3,126
Liver,animal-mean,Ca_1b,0.0,313
Liver,animal-mean,Ca_1b,0.1,147
Liver,animal-mean,Ca_1b,0.2,141
Liver,animal-mean,Ca_1b,0.3,128
Liver,animal-mean,Ca_2b,0.0,313
Liver,animal-mean,Ca_2b,0.1,146
Liver,animal-mean,Ca_2b,0.2,140
Liver,animal-mean,Ca_2b,0.3,127
Liver,animal-mean,Co_15b,0.0,313
Liver,animal-mean,Co_15b,0.1,146
Liver,animal-mean,Co_15b,0.2,139
Liver,animal-mean,Co_15b,0.3,127
Liver,animal-mean,Co_2b,0.0,313
Liver,animal-mean,Co_2b,0.1,147
Liver,animal-mean,Co_2b,0.2,131
Liver,animal-mean,Co_2b,0.3,127
Liver,animal-mean,Co_4b,0.0,313
Liver,animal-mean,Co_4b,0.1,145
Liver,animal-mean,Co_4b,0.2,129
Liver,animal-mean,Co_4b,0.3,127
Liver,animal-mean,Co_5b,0.0,313
Liver,animal-mean,Co_5b,0.1,147
Liver,animal-mean,Co_5b,0.2,140
Liver,animal-mean,Co_5b,0.3,128
Serum,spot,Ca_10a,0.0,313
Serum,spot,Ca_10a,0.1,139
Serum,spot,Ca_10a,0.2,110
Serum,spot,Ca_10a,0.3,102
Serum,spot,Ca_2a,0.0,313
Serum,spot,Ca_2a,0.1,134
Serum,spot,Ca_2a,0.2,107
Serum,spot,Ca_2a,0.3,100
Serum,spot,Ca_3a,0.0,313
Serum,spot,Ca_3a,0.1,140
Serum,spot,Ca_3a,0.2,109
Serum,spot,Ca_3a,0.3,101
Serum,spot,Ca_4a,0.0,313
Serum,spot,Ca_4a,0.1,139
Serum,spot,Ca_4a,0.2,107
Serum,spot,Ca_4a,0.3,100
Serum,spot,Ca_6a,0.0,313
Serum,spot,Ca_6a,0.1,136
Serum,spot,Ca_6a,0.2,108
Serum,spot,Ca_6a,0.3,100
Serum,spot,Ca_7a,0.0,313
Serum,spot,Ca_7a,0.1,138
Serum,spot,Ca_7a,0.2,107
Serum,spot,Ca_7a,0.3,100
Serum,spot,Ca_8a,0.0,313
Serum,spot,Ca_8a,0.1,134
Serum,spot,Ca_8a,0.2,107
Serum,spot,Ca_8a,0.3,99
Serum,spot,Ca_9a,0.0,313
Serum,spot,Ca_9a,0.1,136
Serum,spot,Ca_9a,0.2,108
Serum,spot,Ca_9a,0.3,99
Serum,spot,Co_1a,0.0,313
Serum,spot,Co_1a,0.1,141
Serum,spot,Co_1a,0.2,109
Serum,spot,Co_1a,0.3,100
Serum,spot,Co_2a,0.0,313
Serum,spot,Co_2a,0.1,140
Serum,spot,Co_2a,0.2,110
Serum,spot,Co_2a,0.3,100
Serum,spot,Co_3a,0.0,313
Serum,spot,Co_3a,0.1,135
Serum,spot,Co_3a,0.2,108
Serum,spot,Co_3a,0.3,100
Serum,spot,Co_4a,0.0,313
Serum,spot,Co_4a,0.1,140
Serum,spot,Co_4a,0.2,109
Serum,spot,Co_4a,0.3,101
Serum,animal-mean,Ca_10a,0.0,313
Serum,animal-mean,Ca_10a,0.1,163
Serum,animal-mean,Ca_10a,0.2,150
Serum,animal-mean,Ca_10a,0.3,138
Serum,animal-mean,Ca_2a,0.0,313
Serum,animal-mean,Ca_2a,0.1,160
Serum,animal-mean,Ca_2a,0.2,147
Serum,animal-mean,Ca_2a,0.3,119
Serum,animal-mean,Ca_3a,0.0,313
Serum,animal-mean,Ca_3a,0.1,163
Serum,animal-mean,Ca_3a,0.2,147
Serum,animal-mean,Ca_3a,0.3,139
