analysis_level,Feature,RF_fold_selection_frequency,univariate_fold_selection_frequency,plsda_fold_selection_frequency,mean_selection_frequency,detection_rate,stable_by_both_criteria
animal-level,168.07,0.0,0.0,0.0,0.0,0.224,False
animal-level,61.02,0.0,0.0,0.0,0.0,0.219,False
animal-level,166.05,0.0,0.0,0.0,0.0,0.682,False
animal-level,165.79,0.0,0.0,0.0,0.0,0.005,False
animal-level,165.04,0.0,0.0,0.0,0.0,0.5,False
animal-level,164.9,0.0,0.0,0.0,0.0,0.464,False
animal-level,164.26,0.0,0.0,0.0,0.0,0.0,False
animal-level,163.87,0.0,0.0,0.0,0.0,0.0,False
animal-level,161.01,0.0,0.0,0.0,0.0,0.354,False
animal-level,160.05,0.0,0.0,0.0,0.0,0.005,False
animal-level,159.72,0.0,0.0,0.0,0.0,0.0,False
animal-level,165.39,0.0,0.0,0.0,0.0,0.0,False
animal-level,180.88,0.0,0.0,0.0,0.0,0.698,False
animal-level,180.04,0.0,0.0,0.0,0.0,0.0,False
animal-level,179.05,0.0,0.0,0.0,0.0,0.167,False
animal-level,178.05,0.0,0.0,0.0,0.0,0.234,False
animal-level,176.87,0.0,0.0,0.0,0.0,0.099,False
animal-level,248.93,0.0,0.0,0.0,0.0,0.0,False
animal-level,173.87,0.0,0.0,0.0,0.0,0.052,False
animal-level,169.08,0.0,0.0,0.0,0.0,0.042,False
animal-level,172.82,0.0,0.0,0.0,0.0,0.0,False
animal-level,172.09,0.0,0.0,0.0,0.0,0.0,False
animal-level,171.89,0.0,0.0,0.0,0.0,0.0,False
animal-level,171.64,0.0,0.0,0.0,0.0,0.0,False
animal-level,171.06,0.0,0.0,0.0,0.0,0.104,False
animal-level,170.82,0.0,0.0,0.0,0.0,0.0,False
animal-level,170.11,0.0,0.0,0.0,0.0,0.0,False
animal-level,169.91,0.0,0.0,0.0,0.0,0.0,False
animal-level,173.13,0.0,0.0,0.0,0.0,0.005,False
animal-level,154.66,0.0,0.0,0.0,0.0,0.0,False
animal-level,154.33,0.0,0.0,0.0,0.0,0.0,False
animal-level,154.04,0.0,0.0,0.0,0.0,0.141,False
animal-level,153.02,0.0,0.974,0.0,0.487,0.354,False
animal-level,152.45,0.0,0.0,0.0,0.0,0.0,False
animal-level,65.18,0.0,0.0,0.0,0.0,0.0,False
animal-level,66.21,0.0,0.0,0.0,0.0,0.0,False
animal-level,159.1,0.0,0.0,0.0,0.0,0.302,False
animal-level,151.21,0.0,0.0,0.0,0.0,0.0,False
